,company,answers,partners,tp,fp,precision
10,Honda,"['Keihin, Showa and Nissin Kogyo with Hitachi Automotive Systems', 'Honda, Nissan and BMW', 'Dongfeng', 'all state-owned companies', 'Honda and Waymo', 'Changan Automobile Co. and Jiangling Motor Group', 'Worthington Industries, Autotool Inc. and Stanley Electric', 'Other tech companies also are less-than-ideal potential partners', 'Keihin, Showa and Nissin', 'Changan Automobile Co. and Beijing Automotive', 'hydrogen fuel cell development and autonomous driving', 'Honda and Isuzu', 'GM will help develop two new electric vehicles for Honda', ""GM's partnership with Honda, combined with the components it already has in production for its electrified vehicles"", 'Waymo/Honda', 'Isuzu', 'Hyundai, Toyota, Daimler, Nissan-Renault', 'Honda has partnered with General Motors to develop two new EVs', 'Honda and Waymo', 'the two will jointly develop EV batteries', 'GM, FedEx Corp., AK Steel Holding Corp. and Kroger Co.,', 'Fiat Chrysler, Jaguar Land Rover and AutoNation', 'local Chinese automaker partners', 'companies in emerging technologies', 'Silicon Valley-based Drivemode Inc.,', 'suppliers and technology startups', 'outside companies', 'academic labs, consortiums, tech companies', 'local joint ventures', 'American customers and U.S. dealers']","['BMW', 'Nissan', 'Waymo', 'Changan Automobile Co.', 'Isuzu', 'GM', 'Daimler', 'Hyundai', 'Toyota', 'General Motors', 'EV', 'AutoNation', 'Fiat Chrysler', 'Jaguar Land Rover']",4,10,0.2857142857142857
11,Hyundai,"['Hyundai Motor Co. and Kia Motors Corp.', 'Samsung Electronics and LG Electronics', 'tech upstarts and Silicon Valley giants', 'BMW and Daimler', 'European Union and Germany', 'if Hyundai partners with a new player', 'BMW Group and Daimler', 'Hyundai Motor Co. and Kia Motors Corp.', 'Hyundai, Kia and Genesis', 'Canada and Mexico', 'BAIC Motor Group Co', '50-50 partnership between Hyundai and a private Chinese truck maker', 'Pony.ai, a self-driving startup, and mobility service provider Via', 'Dongfeng Motor Corp. and Jiangsu Yueda Investment Co.', 'it has invested or partnered with eight Israeli companies', 'AutoGravity has joined with more than 20 auto lenders', ""Hyundai's deal with Aurora will start with custom-developed models launched in pilot cities.\nLong term, the partnership with Hyundai aims to commercialize autonomous vehicles for the brand"", 'Hyundai will start EV pilot projects with Grab in Singapore next year', ""Beijing Hyundai is Hyundai's joint venture with BAIC Motor Group Co"", 'Fiat Chrysler Automobiles', 'companies in emerging technologies', 'Genesis and Kia', 'affiliates', 'CDK Global and Dealer.com', 'Toyota, Honda and Nissan', 'Chinese technology company Tencent Holdings', 'General Motors, Honda, Nissan and Toyota', 'local joint-venture partners', 'Volkswagen, Hyundai and Nvidia', 'startups, ventures that are already established']","['Hyundai Motor Co.', 'Kia Motors Corp.', 'BMW', 'Daimler', 'European Union', 'BMW Group', 'Kia', 'Pony.ai', 'Dongfeng Motor Corp.', 'AutoGravity', 'Aurora', 'EV', 'Fiat', 'CDK Global', 'Honda', 'Nissan', 'Toyota', 'Tencent Holdings', 'General Motors', 'Nvidia', 'Volkswagen']",8,13,0.38095238095238093
12,Audi,"['Venables, Bell & Partners', 'Tesla Motor Inc. and Apple Inc.', 'Iran Khodro Diesel and Mammut Group', 'Venables Bell & Partners', 'FAW and Volkswagen', ""Volkswagen Group's Audi and Porsche brands will be part of the joint venture"", 'nables Bell & Partners', 'automakers and local mobile operators', 'Audi, Daimler and BMW', 'Verizon and AT&T', 'a 60-30-10 partnership among FAW, VW and Audi', 'VW and SAIC', 'VW and Ford Motor Co.', 'AutoGravity, the FinTech pioneer transforming car shopping and financing through the power of the smartphone, today announced a partnership with Audi Financial Services', 'two 2018 Innovation Partnership awards went to Audi AG and General Motors', 'Jianghuai Automobile Co', 'two 2018 Innovation Partnership awards went to Audi AG and General Motors for technology advances they achieved by collaborating with suppliers', ""Daimler, BMW and Volkswagen's"", 'Hyundai', 'Audi was awarded for its partnership with Continental on a safety domain control unit that combines passive and active safety management in a single controller', 'Brazil and Argentina', 'FAW-VW', 'automakers and local mobile operators', 'Venables Bell & Partners', 'BMW, Jeep and Mercedes-Benz', 'parent VW Group and state-owned FAW Group', 'Iran Khodro Diesel and Mammut Group', 'companies in emerging technologies', 'Apple and Google', 'Toyota,']","['Apple Inc.', 'FAW', 'Volkswagen', 'Porsche', ""Volkswagen Group's"", 'BMW', 'Daimler', 'AT&T', 'VW', 'SAIC', 'Ford Motor Co.', 'AutoGravity', 'Audi AG', 'General Motors', 'Hyundai', 'Continental', 'Jeep', 'Mercedes-Benz', 'FAW Group', 'VW Group', 'Apple', 'Google', 'Toyota']",14,9,0.6086956521739131
13,FCA,"['Auto suppliers Delphi and Continental', 'Nissan and Mitsubishi', 'Guangzhou Automobile Group', 'Nissan and Mitsubishi', 'Renault', 'Nissan and its affiliate Mitsubishi', ""South Korea's Samsung Electronics"", 'Peugeot', '220 corporate partners and 300 venture capital partners', 'Renault and Nissan', 'The two companies already have a partnership that enables FCA to manufacture cars in China', 'Suzuki, Mazda and Hyundai', 'Toyota Motor Corp., Honda Motor Co. and Mitsubishi Motors Corp', ""Renault's existing alliance with Nissan and Mitsubishi Motors Corp"", 'Guangzhou Automobile Group Co.,', 'The two companies already have a partnership that enables FCA to manufacture cars in China', 'FCA and Renault were discussing a partnership', ""South Korea's Samsung Electronics"", 'Waymo and FCA', 'Waymo', 'Mazda and Hyundai', 'Nissan and Mitsubishi', 'Comau and castings firm Teksid', 'Suzuki, Mazda and Hyundai', '220 corporate partners and 300 venture capital partners', 'Nissan and its affiliate Mitsubishi', 'Renault, Nissan and Mitsubishi', 'Nissan and Mitsubishi Motors, is promising that the Japanese automakers will derive big benefits from his proposed tie-up of FCA with their French partner Renault', 'Chinese firms and other international automotive players', 'Nissan and Mitsubishi Motors Corp']","['Continental', 'Delphi', 'Mitsubishi', 'Nissan', 'Guangzhou Automobile Group', 'Renault', 'Peugeot', 'Hyundai', 'Mazda', 'Suzuki', 'Honda Motor Co.', 'Toyota Motor Corp.', 'Guangzhou Automobile Group Co.', 'Waymo', 'Mitsubishi Motors']",3,12,0.2
14,F&I,"['F&I Express® and F&I Administration Solutions LLC (F&I Admin)', 'more than 5,300 dealership partners', 'automotive lenders and finance companies', 'auto dealership groups and F&I insurance companies', 'insurance companies', 'lender partners', 'original equipment manufacturers and other strategic partners to auto dealerships, lenders and credit unions', 'endorsed by several top F&I product companies, agencies, and OEMs', 'StoneEagle', 'Established F&I companies', 'RouteOne and Open Dealer Exchange', 'cAssured and DealerVero', 'Audi Finance, Volkswagen Finance', 'F&I product and software companies are responding to the shift by partnering up, some of them to provide consumer-facing content', 'Most dealerships work with F&I companies, such as JM&A, to improve their F&I operations', 'Most dealerships work with F&I companies', ""Dominion DMS and Dealertrack DMS executives said the companies will integrate with dealerships' preferred vendors"", 'Darwin Automotive', 'F&I product companies can help furnish the information they believe will help dealers sell products most effectively', ""F&I Express is part of Reynolds' certified interface program"", 'RouteOne, ScotiaBank, and CarProof', 'automotive lenders and finance companies', 'franchised auto dealers', 'Darwin Automotive', 'more than 5,300 dealership partners', 'insurance companies', 'automobile dealers, credit unions, financial services companies, recreational dealers', 'Ally Financial, American Honda Finance and Fifth Third Bank', 'Established', 'third-party F&I providers']","['F&I Express', 'Open Dealer Exchange', 'RouteOne', 'JM&A', 'Darwin Automotive', 'Reynolds', 'Ally Financial']",4,3,0.5714285714285714
15,Daimler,"['Daimler currently has two partners in Russia', 'Daimler already has two Chinese partners', ""Volkswagen Group's Audi and Porsche brands will be part of the joint venture"", ""Daimler's long-standing Chinese joint venture partner, the state-owned Beijing manufacturer BAIC"", 'Daimler, Intel and Geely', 'technology companies or automakers', 'Intel and Geely', 'BMW, Audi', 'Daimler AG and Nissan Motor Corp.', 'Daimler, Renault\xa0 and Nissan Motor', 'Volvo Cars', 'Daimler-Renault-Nissan', 'Daimler and Chinese tech giant Baidu', 'Renault-Nissan-Daimler', 'in partnership with chipmaker Qualcomm', 'BMW', 'Daimler taking a 3.1 percent share in both Renault and Nissan', 'Renault-Nissan', 'Daimler and Renault-Nissan', ""Daimler's growing partnership with premium rival BMW"", 'BAIC Motor Group Co. and BYD Co', 'BAIC or BYD', 'Amazon.com and Microsoft', 'BAIC and BYD', 'Daimler and Hyundai Motor Co', 'Daimler and BMW', 'BMW', 'BMW and Daimler', 'Renault-Nissan alliance', 'BAIC and Geely']","['Audi', 'Porsche', ""Volkswagen Group's"", 'BAIC', 'Geely', 'Intel', 'BMW', 'Daimler AG', 'Nissan Motor', 'Renault', 'Volvo', 'Baidu', 'Qualcomm', 'Nissan', 'BAIC Motor Group Co.', 'Microsoft']",13,3,0.8125
16,Volkswagen,"['SAIC and First Automotive Works (FAW),', 'SAIC Motor Corp. and China FAW Group', 'Volkswagen Group has joint ventures with\xa0Shanghai Automotive Industrial Corporation (SAIC) and\xa0First Automotive Work (FAW) Group', ""VW's venture with Anhui Jianghuai Automobile Group"", '60-40', 'SAIC Motor Corp.,', 'VW’s venture with Anhui Jianghuai Automobile Group', 'Volkswagen and long-standing carmaker partner China FAW Group Co.', ""China's Jianghuai Automobile Co"", 'China FAW Group Corp. and VW', 'Ford Motor and VW are exploring a number of partnerships in commercial vehicles, midsize pickups and potentially autonomous and electric vehicle development', '60-40', 'The two companies have a joint venture to produce cars for the VW and Audi brands', 'Jianghuai Automobile Co. and VW', 'Volkswagen Truck & Bus is a division of VW', 'Volkswagen and Amazon Web Services', 'Volkswagen AG is in talks to form a joint venture with China’s Didi Chuxing', 'Mobvoi Inc.,', 'The partnership in which VW is seeking to raise its share to more than 50 percent is the one established with Jianghuai Automobile Co', ""Ford Motor Co. and Volkswagen Group eventually could include a vehicle program in the U.S., said Jim Farley, Ford's president of global markets.\nThe two sides on Tuesday announced a broad partnership under which Ford will build commercial vans for VW in Europe and midsize pickups in South America, Europe and Africa"", 'Audi, Porsche and Bentley', ""Volkswagen Group's and SAIC Motor"", 'SAIC Motor Corp.,', 'Ford, Lincoln', 'China FAW Group Co.', ""Volkswagen Group's and SAIC Motor Corp.'"", 'Toyota and GM', 'FAW Group', 'companies in emerging technologies', 'Renault-Nissan Alliance nor FCA']","['FAW', 'SAIC', 'China FAW Group', 'SAIC Motor Corp.', 'Volkswagen Group', 'VW', 'China FAW Group Corp.', 'Ford Motor', 'Audi', 'Jianghuai Automobile Co.', 'Volkswagen AG', 'Ford', 'Ford Motor Co.', 'Bentley', 'Porsche', 'SAIC Motor', ""Volkswagen Group's"", 'Lincoln', 'GM', 'Toyota', 'FAW Group', 'FCA']",14,8,0.6363636363636364
17,Volvo,"['Uber, Google and Amazon', 'We are selecting partners', 'Uber and Google', 'Autoliv', 'Geely and Volvo', 'Not everybody has such a partner as Volvo', 'JM&A Group', 'Zhejiang Geely Holding Group', 'Lynk & CO, which it jointly owns with parent Zhejiang Geely Holding Group', 'Baidu', 'Autoliv', 'Uber, Google and Amazon', 'VW is nearing a deal to cooperate with Ford on electric car technology and self-driving vehicles', 'Volvo is able to offer a set insurance rate to customers of all profiles across the U.S. through a partnership with Liberty Mutual', ""Nvidia is joining forces with Sweden's AB Volvo to develop artificial intelligence used in self-driving trucks, in a boost for the U.S. chipmaker that parted ways with Tesla last year.\nThe agreement announced on Tuesday by Nvidia and Volvo, the world's second-biggest truckmaker after Daimler, is a long-term partnership spanning several years"", 'Liberty Mutual', 'open to working with other ride-hailing companies', 'POC have worked together on product testing since 2014', 'Hyundai Motor Co. inked a partnership with the startup to co-develop connected services surrounding medical information', 'ABB and Volvo said they were setting up a global partnership to co-develop and commercialize electric and hybrid buses with fast-charging systems', 'Geely and Lynk & CO', 'Uber, Google and Amazon', 'Volvo, Geely Auto and Lynk & CO', 'companies in emerging technologies', 'MDGo and UVeye', 'retailers', 'BMW, Audi and Mercedes', 'Zhejiang Geely Holding Group', 'Volvo, Geely Auto and Lynk & CO', 'Zhejiang Geely Holding']","['Amazon', 'Google', 'Geely', 'JM&A Group', 'Zhejiang Geely Holding Group', 'Lynk & CO', 'Ford', 'VW', 'AB Volvo', 'Daimler', 'Nvidia', 'Tesla', 'Hyundai Motor Co.', 'ABB', 'Audi', 'BMW', 'Mercedes', 'Zhejiang Geely Holding']",10,8,0.5555555555555556
18,Porsche,"['ChargePoint, EVgo and Electrify America', 'ChargePoint, EVgo and Electrify America', 'Daimler, Volvo owner Geely and Italdesign', 'Porsche Digital and Turo', 'three partners at law firm Freshfields Bruck', ""VW's two Chinese joint venture partners, FAW Group Corp. and SAIC Motor Corp.,"", ""Volkswagen Group's Audi and Porsche brands will be part of the joint venture"", 'Italdesign, Audi and Porsche are all Volkswagen Group companies', ""Porsche's former communications head, Anton Hunger, and three partners at law firm Freshfields Bruckhaus Deringer LLP"", 'Porsche did not need to team up with any big technology companies', 'Apple is partnering with Porsche to bring Apple Music’s streaming service', 'Porsche, Audi, BMW', 'part of the VW group', 'Porsche has partnered with Apple', 'Porsche, Hyundai, Aston Martin, Koenigsegg, Renault and Pininfarina', 'Boeing, Porsche and Aurora Flight Sciences', 'Electrify America', 'The arrangement gives Gaudin access to the 1.5-mile track for two to four on-demand laps with high-value clientele who are on the fence about a Porsche or undecided between models', 'Porsche-Boeing', 'Boxster or Cayman', 'Volkswagen Group', 'the EU and the U.S.', 'Porsche and Piech families', 'tech companies', 'Bentley, Bugatti and Lamborghini', 'Ferrari and Maserati', ""Israel's Magma and e-Ventures"", 'Haig Partners and Kerrigan Advisors', 'BMW, Mercedes, Audi', 'consumer-goods manufacturers']","['ChargePoint', 'EVgo', 'Daimler', 'Italdesign', 'Volvo', 'SAIC Motor Corp.', 'VW', 'Audi', ""Volkswagen Group's"", 'Volkswagen Group', 'Apple', 'BMW', 'Hyundai', 'Koenigsegg', 'Pininfarina', 'Renault', 'Boeing', 'Boxster', 'EU', 'Piech', 'Bentley', 'Bugatti', 'Lamborghini', 'Ferrari', 'Maserati', 'Haig Partners', 'Kerrigan', 'Mercedes']",13,15,0.4642857142857143
19,General Motors,"['SAIC, GM and Guangxi Automobile Group Co.,', 'Shanghai Auto', 'Changan Automobile Co. and Jiangling Motor Group', 'Nissan Motor Co. and Mitsubishi Motors Corp.,', 'SAIC, GM and Guangxi Automobile Group Co', 'nda', 'General Motors Co., which is a major Lyft investor and partner', 'foreign companies often prop up their domestic partners', 'GM and tire supplier Michelin', 'General Motors and Daimler', 'The automaker announced this week it is building an electric pickup for EV startup Nikola as part of a new partnership', 'nda has an existing relationship with General Motors', 'General Motors and Honda Motor Co', 'General Motors has brought closed sales back to Manheim', 'Lyft', 'Shape Corp.', 'two 2018 Innovation Partnership Awards went to Audi AG and General Motors for technology advances achieved by working with suppliers', 'General Motors, which holds approximately a 9 percent stake in the ride-hailing company, previously had a similar partnership', 'Delphi Automotive and Mobileye NV', 'Waymo has teamed up with Tata Motors Ltd.’s Jaguar and expanded its alliance with Fiat Chrysler Automobiles NV this year', 'floorplan financing lenders, auction companies, warranty companies', 'Tesla', 'China joint ventures', 'GM and Ford', 'Automakers and suppliers', 'PSA Group', 'Nissan', 'Warner Norcross & Judd', 'ride-share operations to technology companies', 'Ford Motor Co.']","['GM', 'SAIC', 'Changan Automobile Co.', 'Mitsubishi Motors Corp.', 'Nissan Motor Co.', 'General Motors Co.', 'Lyft', 'Michelin', 'Daimler', 'EV', 'Nikola', 'Audi AG', 'Delphi Automotive', 'Fiat Chrysler Automobiles NV', 'Jaguar', 'Waymo', 'Tesla', 'Ford', 'PSA Group', 'Nissan', 'Ford Motor Co.']",7,14,0.3333333333333333
